S/N,statement,A1,A2,A3,target,source,text_origin
258,Ọdún ìtẹ́ ọba nìkan ni mo ti gbọdọ̀ jó lẹ́ẹ̀kan lọ́dún - Olomu ti Omu-Aran,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
259,Ohun tí a mọ̀ nípa afurasí tọ́wọ́ aráàlù tẹ̀ fẹ́sùn pé ó fẹ́ jí ọmọ gbé ní Ilorin,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
260,"Pẹ̀tẹ̀pẹ́tẹ̀ táa nà ní pọ̀pá, ẹníbá tabà kó lọ túnbẹ̀ ṣe",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,X,original
261,E wo nínú yín ni ó fún ọmọ yìí lóyún 🤣🤣,non-sarcastic,non-sarcastic,sarcastic,non-sarcastic,X,original
262,"Àgbáríjọ ẹgbẹ́ ọmọ Yorùbá ni Faransé, Ẹ ṣeun gan ni fún àmì ẹ̀yẹ ti ẹ fi dámilọ́lá.",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,X,original
263,"Wàá ṣe bí ọkùnrin kí ìwọ náà tó lè jẹ́ ènìyàn pàtàkì, wá tiraka láti jẹ́ ẹni tí àwọn ènìyàn ń wárí fún un.",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,X,original
264,"Àrà gbé láyé túmọ̀ sí wípé, wọ́n máa ń ra ayé gbé ní.",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,X,original
265,Ọlọ́pàá bá òkú ọmọ Nàìjíríà tí wọ́n gún pa sínú ilé ní ó ku ọ̀sẹ̀ méjì tó máa parí ìkẹ́kọ̀ọ́ nọ́ọ̀sì ní US,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
266,"To ba ya won ma sope won ko ri alanu, bawo ni eniyan mase dagba lai ni opolo bio ti wun ko kere mo, won ko ma wuwa ti o ma se idina fun elomiran lati je anfaani",non-sarcastic,sarcastic,non-sarcastic,non-sarcastic,X,original
267,"Tí èèyàn kò bá lówó lọ́wọ́, kí o gbìyànjú láti máa ṣe ìgbéraga",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
268,"Bí ẹ o ṣe lówó lọ́wọ́ yẹn, o yẹ kẹ máa jalè ni",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
269,"Oloyinbo ni '99 days for the thief, 1 day for the owner'. Ẹ o jalè fún 98 days, tó bá ti di 99th day, kí ẹ jáwọ́",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
270,"Bí o ba jalè, Ọlọ́run yóò fi mú àwọn ọ̀rẹ́ẹ̀ rẹ tí wọn kò ṣàánú rẹ ni, nítorí òó ba orúkọ wọn jẹ́ ni.  Àwọn ènìyàn yóò sọ wípé ọ̀rẹ́ olè, olè lòun náà",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
271,"Tí o bá nta tẹ́tẹ́ lójoojúmọ́, tí o ti wá nsọ owó nù jù, kí o máa mú ọtí mọ́ọ ni.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
272,"Tí o bá ti fẹẹ pé ọgbọn ọdún láyé tí o tíì pàdé eegun tiẹ, gbé eegun eléegun ni.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
273,"Nítorí Regina Daniels n mu igbó, kò túmọ̀ wípé ọmọ burúkú ni. Ó le jẹ́ igbó tí o n mu yi ni àwọn èèyàn a fi máa bọ̀wọ̀ fún ọkọ rẹ̀.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
274,"Ẹ káre láí, Bùọ̀dá gbọ́mọgbọ́mọ😒",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
275,"Olókó dógidógi, káre!",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
276,"Wọn kò lè mu yín tí ẹ ba n jalè, ẹ ó fi ọpọlọ ja olè náà ni.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
277,"Bí wọ́n ṣe dájọ́ fún yín wípé ẹ máa kú ní ọjọ́ méje, ẹ yà wọ́n lẹ́nu kí ẹ kú kí ó tó di ọjọ́ méje",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
278,"Tí ẹnikẹ́ni bá ní kí o má mú igbó, má ṣe dá wọn lóhùn o. Àbí kí lo fẹ́ẹ máa fi pa ìrònú rẹ? Ó kàn lè yà ẹ́ ní wèrè ni.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
279,Oriogbade FC ti wá yarí kanlẹ̀ báyìí o. Kí ló ń ṣẹlẹ̀ gan-an gan-an ná ní pápá ìṣeré Emirates?,sarcastic,sarcastic,non-sarcastic,sarcastic,BBC News,original
280,"Ọmọ tí yòó bá jẹ́ àṣàmú, kékeré ni yòó ti maa ṣẹnu ṣámú-ṣámú. Bùkáyọ̀ Saka, Oriogbade ooo",sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
281,"Gbajúgbajà akọrin Afro beat, Seun Kuti, ní àìmọ̀kan ló jẹ́ káwọn olólùfẹ́ Wizkid máa fi Wizkid wé Abami Ẹda.",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
282,"Arsenal, Oriogbade FC, ṣìrìn nílé Aston Villa, àánú ikúnlẹ̀ abiyamọ ṣe wá nígbà tí ìfesewọnsệ parí",sarcastic,sarcastic,non-sarcastic,sarcastic,BBC News,original
283,"Àmọ̀rí kọ́ ni ìṣòro ẹgbẹ́ agbábọ́ọ̀lù Manchester United. Ẹ̀san òjóóró tí wọ́n ṣe nígbà tí Alex Ferguson jẹ́ Kóòsì wọn ló ń ké lórí wọn. Bí wọ́n ò bá múra, wọ́n máa religéètì gbẹ̀yìn..",sarcastic,sarcastic,non-sarcastic,sarcastic,Facebook,original
284,"Ṣé ọ̀rọ̀ yìí kò ti di ẹni a lè mú làá lẹ̀dí mọ́ báyìí? Níbo ni Arsenal, Oriogbade, fi gbogbo góòlù yìí sí nígbà tí wọ́n kojú Liverpool?",sarcastic,sarcastic,non-sarcastic,sarcastic,BBC News,original
285,"Bí olóde kò bá kú, ojúde rẹ̀ kìí hu gbẹ́gi - ẹ̀yà koríko kan.",non-sarcastic,sarcastic,non-sarcastic,non-sarcastic,BBC News,original
286,"Ríru omi òkun, kò ní kí ẹja má sùn, kò ní kí ẹja má han oorun. Bí omi òkun ṣe ń ru tó, èyí kò di ẹja lọ́wọ́ oorun",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
287,"Ọmọdé tó bá mọ ọwọ́ wẹ̀, yóò bá àgbà jẹun.",non-sarcastic,sarcastic,non-sarcastic,non-sarcastic,BBC News,original
288,Arsenal gbẹ̀san ìyà tí Aston Villa fi jẹ wọ́n lára Club Brugge tí kò mọwọ́ mẹsè.😀,sarcastic,sarcastic,non-sarcastic,sarcastic,BBC News,original
289,"Àgbà òǹkọ̀wé Nàìjíríà, Wole Soyinka ní àwọn ọmọ ogun ilẹ̀ àti òfurufú tí Ààrẹ Tinubu rán lọ sí orílẹ̀ èdè Benin kọ́ ló yẹ kó rán, pé Seyi Tinubu lásán ti tó.",sarcastic,sarcastic,non-sarcastic,sarcastic,BBC News,original
290,"Ẹ̀yin ti Chelsea, ṣé ẹ fẹ́ pa orúkọ dá sí Anakaye FC ni?",sarcastic,sarcastic,sarcastic,sarcastic,BBC News,original
291,Sheikh Gumi ní káàkiri àgbáyé ni wọ́n ti máa ń bá àwọn agbébọn jíròrò láti dènà ìtàjẹ̀sílẹ̀.,non-sarcastic,sarcastic,non-sarcastic,non-sarcastic,BBC News,original
292,"Leeds United ló kọ́kọ́ dá ṣèríà fún Chelsea, kí Atalanta tó f'ọba leè ní ìdíje UEFA Champions League.",sarcastic,sarcastic,non-sarcastic,sarcastic,BBC News,original
293,"Olúwa tó yí orúkọ Ábráhámù àti Jákọ́bù padà, yi o báwa yí orúkọ Arsenal tí 'BBC News Yoruba' ti sọ di 'Oriogbade' padà sí 'Oriade' 🙏",sarcastic,sarcastic,non-sarcastic,sarcastic,Facebook,original
294,"Ayé ò! Atalanta lagi mọ́ Chelsea lórí láwọlé sùn, fa aṣọ iyì ya mọ́ Aníyìkáyé FC lára.",sarcastic,sarcastic,non-sarcastic,sarcastic,BBC News,original
295,Seyi Tinubu ló yẹ kí Aàre rán lọ ṣe ìdádúró ìdìtẹ̀gbàjọba ní orílè-èdè Benin nítorí àwọn ẹ̀ṣọ́ ààbò tó máa n tẹ̀lẹ kò níye.,sarcastic,sarcastic,non-sarcastic,sarcastic,BBC News,original
296,"Wọ́n npe ibìkan ní Ìyágànkú ní Ìbàdàn. Ilé Manchester United nìyẹn, nítorí ìyá ti gan kú síwọn lára",sarcastic,sarcastic,sarcastic,sarcastic,Facebook,original
297,"Ọlọ́tẹ̀ ni BBC Yorùbá, nítorí Man City tó kó mẹ́wàá fúnyàn lánàá, níbo ní àwọ́n kò góòlù tiwọn sí nígbà tí wọ́n kojúú Brighton",sarcastic,sarcastic,non-sarcastic,sarcastic,Facebook,original
298,"Ìgbájú ìgbámú ni kẹríkẹrì bá tòdee bọ̀, Manchester United, ọwọ́ ba kórópọ̀n yín méjèèjì.",sarcastic,sarcastic,sarcastic,sarcastic,BBC News,original
299,"Báyé bá njáyé, bí Paul Biya bá ṣì wà lórí oyè ni Cameroon, ọ̀rọ̀ bí ìyà bí ìyà kò tíì lè tán nínú ayé Manchester United",sarcastic,sarcastic,sarcastic,sarcastic,BBC News,original
300,"Òjò ẹ̀sín àti ìyà tún rọ̀ lé Anfaani Adugbo, ìyẹn Manchester United, lórí lẹ́yìn tí wọ́n lè Amori lọ",sarcastic,sarcastic,non-sarcastic,sarcastic,BBC News,original
301,"Arsenal, Oriogbade FC, ṣìrìn nílé Aston Villa, àánú ìkúnlẹ́ abiyamọ ṣe wá nígbà tí ìfẹsẹ̀wọnsẹ̀ parí",sarcastic,sarcastic,non-sarcastic,sarcastic,BBC News,original
302,"Eré orí igi ló bá dé fún Erinlákátabú FC, iyen Arsenal, lẹ́yìn tí wọ́n kó igi bo orí Burnley.",sarcastic,sarcastic,non-sarcastic,sarcastic,BBC News,original
303,"Erin lákátabú Oriogbade FC, ìyẹn Arsenal ti gòkè àlọ, Fulham ni wọ́n fi ṣe ìrúbọ àti gori tábìlì EPL.",sarcastic,sarcastic,non-sarcastic,sarcastic,BBC News,original
304,"Ọmọ inú ọká ní ṣekúpa ọká,  Danny Welbeck tó ti gbá bọ́ọ̀lù rí fún Man United náà ló dá iyẹ̀pẹ̀ sí gaàrí wọn.",sarcastic,sarcastic,non-sarcastic,sarcastic,BBC News,original
305,"Ẹ yéé fi Wizkid wé Fẹlá mọ, ọ̀rọ̀ àbùkù àti agọ̀ ni, Seun Kuti yarí",sarcastic,sarcastic,non-sarcastic,sarcastic,BBC News,original
306,"Pìtìpìtì ayé bá Portsmouth! Martinelli kanra ti Liverpool mọ́ wọn, fi wọ́n ṣe àsun ìrọ̀lẹ ọjó ìsinmi fáwọn olólùfẹ́ Oriogbade, ìyẹn Arsenal.",sarcastic,sarcastic,sarcastic,sarcastic,BBC News,original
307,"Ewúrẹ́ Algeria binú, fẹsẹ̀ halẹ̀, àjẹkún ìyà ni wọ́n fi jẹ lọ́wọ Super Eagles Nàìjíríà.",sarcastic,sarcastic,sarcastic,sarcastic,BBC News,original
308,"E yé sọ̀rọ̀ òdì sí orílẹ̀-èdè Nàìjíríà mọ́, dípò béẹ̀, ẹ máa ṣadúrà ni",sarcastic,sarcastic,non-sarcastic,sarcastic,BBC News,original
309,"Ríi dájú pé èso rere lò n gbìn ní gbogbo ibi tó o bá dé, àṣesilẹ̀, kò sí bó ṣe le wù kó pé tó, o máa ká gbogbo ohun to bá gbìn lọ́jó kan.",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
310,"Ṣé òkè ténté tábìlì ni oríògbadé FC yóò bá wọ ọdún 2026, àbí wọn yóò já gẹ́gẹ́bí ìṣe wọn?",sarcastic,sarcastic,non-sarcastic,sarcastic,BBC News,original
311,"Njẹ́ ọkọ̀ Chelsea tí kò ní dẹ́rẹ́bà yìí lè borí Man City, àbí àpò ni wọn yóò fi kó òdo lọ sílé?",sarcastic,sarcastic,sarcastic,sarcastic,BBC News,original
312,Wọ́n fiọ́ j'Ọba o tún nṣ'àwúre; ṣé o fẹ́ di Elédùmarè ni🤷‍♂️,non-sarcastic,sarcastic,sarcastic,sarcastic,Facebook,original
313,Màlúù tí kò nírù Chelsea takú sọ́rùn Man City pé kò sí àyè láti fibẹ̀ ṣe ilé eṣinṣin,sarcastic,sarcastic,sarcastic,sarcastic,BBC News,original
314,"Njẹ́ ọkọ̀ Chelsea tí kò ní dẹ́rẹ́bà yìí lè borí Man City, àbí àpò ni wọn yóò fi kó òdo lọ sílé?",sarcastic,sarcastic,sarcastic,sarcastic,BBC News,original
315,"Ànfààní Adúgbò, ìyẹn Manchester United, ti fọwọ́ òsì júwe ilé fún Ruben Amorim pé kó máa lọ",sarcastic,sarcastic,non-sarcastic,sarcastic,BBC News,original
316,"Arsenal Oriogbade bínú tán, pàwọn ọlọ́tẹ̀ lẹ́nu mọ́, àlùdákú ni wọ́n lu Club Brugge mọ́lé.",sarcastic,sarcastic,non-sarcastic,sarcastic,BBC News,original
317,"Ayé ò! Atalanta lagi mọ́ Chelsea lórí láwọlé sùn, fa aṣọ iyì ya mọ́ Aníyìkáyé FC lára.",sarcastic,sarcastic,sarcastic,sarcastic,BBC News,original
318,"Olúwa tó yí orúkọ Ábráhámù àti Jákọ́bù padà, yi o báwa yí orúkọ Arsenal tí 'BBC News Yoruba' ti sọ di 'Oriogbade' padà sí 'Oriade' 🙏",sarcastic,sarcastic,sarcastic,sarcastic,BBC News,original
319,Alvaro Arbeloa tó jẹ́ akẹgbẹ́ Xabi Alonso tẹ́lẹ̀ ní ẹgbẹ́ agbábọ́ọ̀lù Liverpool ni akọ́nimọ̀ọ́gbá tuntun Real Madrid báyìí.,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
320,"Egbìnrìn ọ̀tè, bí a ti ńpa kan ni ọ̀kan ńrú.",non-sarcastic,sarcastic,non-sarcastic,non-sarcastic,BBC News,original
321,"Aya Ààrẹ ilẹ̀ wa sọ̀rọ̀ yìí lójú òpó Facebook rẹ̀, pẹ̀lú àlàyé pé àdúrà àti ọ̀rọ̀ rere ló yẹ Naijiria, ọ̀rọ̀ burúkú kọ́.",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
322,"Àmọ̀rí kọ́ ni ìṣòro ẹgbẹ́ agbábọ́ọ̀lù Manchester United. Ẹ̀san òjóóró tí wọ́n ṣe nígbà tí Alex Ferguson jẹ́ Kóòsì wọn ló ń ké lórí wọn. Bí wọ́n ò bá múra, wọ́n máa religéètì gbẹ̀yìn..",sarcastic,sarcastic,non-sarcastic,sarcastic,BBC News,original
323,"Erin lákátabú Oriogbade FC, ìyẹn Arsenal, kí ojú aláṣejù Crystal Palace bọ omi gbígbóná láti jókòó rẹ̀pẹ̀tẹ̀ sórí tábìlì EPL.",sarcastic,sarcastic,sarcastic,sarcastic,BBC News,original
324,"Ṣé ọ̀rọ̀ yìí kò ti di ẹni a lè mú làá lẹ̀dí mọ́ báyìí? Níbo ni Oriogbade, ìyẹn Arsenal, fi gbogbo góòlù yìí sí nígbà tí wọ́n kojú Liverpool?",sarcastic,sarcastic,sarcastic,sarcastic,BBC News,original
325,"Ọdún dé, ọdún jọ, ọdún jọ, ọdún dé, ọdún jọ, ọdún jọ o, ará ẹ bá mi yọ̀, ọdún dé o.",non-sarcastic,sarcastic,non-sarcastic,non-sarcastic,X,original
326,"Ẹ gbẹ̀mí ẹni tó bá sùn, nítorí ẹni tó bá sùn kò níí sún",sarcastic,sarcastic,non-sarcastic,sarcastic,Instagram,original
327,"Tí onílé rẹ bá nṣe ìgbéraga sí ẹ, kí o lọ jalè láti rí owó kọ́ ilé tiẹ. Bí o tilẹ̀ jẹ́ wípé wọ́n lè mú ẹ tí o bá ti lọ jalè náà, yóò dójú tí onílé rẹ.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
328,"Dípò kí o ṣègbéyàwó, o lè bẹ̀rẹ̀ síí ṣe aṣẹ́wó nítorí pé o lè rí owó púpọ̀ gbà lọ́wọ́ ìbálòpọ̀ tí ìwọ ì bá ti fún ọkọ rẹ lọ́fẹ̀ẹ́. Bótilẹ̀jẹ́pẹ́ abẹ́ rẹ lè gbóná gaan.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
329,"Tí gbogbo àwọn ẹbíì rẹ bá ń retí pé kí o ṣoríire kí o lè bẹ̀rẹ̀ ìrànlọ́wọ́ fún wọn, ṣe oríibú kí o lè ṣe ìyàlẹ́nu fún wọn.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
330,"Má ṣe fẹ́ ìyàwó tó máa fún ẹ ní Ìfọ̀kànbalẹ̀, nítorí Ìfọ̀kànbalẹ̀ díẹ̀, ogún diẹ la fí ngbé ilé ayé. ",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
331,"Tío bá fẹ́ ìyàwó tó sàn lórí, to bá yọ àdá, ìwọ náà á yọ ọ̀bẹ. Báyìí ní ìgbéyàwó yín yóò fi máa dùn, bótilẹ̀jẹ́pẹ́ ẹnìkan lè pa ẹnìkejì lọ́jọ́ kan",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
332,"Tí ìyàwó rẹ bá ń ṣe àgbèrè, kí ìwọ náà lọ ṣé àgbèrè ni. Bó tilẹ̀ jẹ́ pé ẹ̀yin méjèèjì lè kó ààrùn, ó sàn kí o kí ẹ kú papọ̀ kí o sì mọ̀ pé o ti gbẹ̀san.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
333,"Má ṣe fi ìyàwó rẹ sílẹ̀ nítorí pé ó ń ṣe àgbèrè. Ó ṣeé ṣe kí ó jẹ́ ọ̀kan lára àwọn tí ó ń ṣẹ́ àgbèrè pẹ̀lú ní yóò ràn ọ́ lọ́wọ́ nígbẹ̀yìn-gbẹ́yín, bó tilẹ̀ jẹ́ pé o lè máa tọ́jú àkóràn.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
334,"Tí àwọn ẹbí bá ń béèrè owó lọ́wọ́ rẹ ju bó ṣe yẹ lọ, tí wọ́n sì ń gbèrò láti pa ọ́, jẹ́ kí wọ́n tẹ̀síwájú. Bó tilẹ̀ jẹ́ pé o máa di aláìní, ẹlẹ́dàá rẹ yóò fìyà jẹ wọ́n.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
335,"Tí o bá ní ọ̀rẹ́bìnrin kan tí ó ń tì ọ́ lẹ́yìn nígbà tí o kò jẹ́ ọlọ́rọ̀, fi sílẹ̀ nígbàkúgbà tí o bá di ọlọ́rọ̀, kí ọ̀rẹ́bìnrin náà lè lọ ran ọkùnrin mìíràn tí kò tíì di ọlọ́rọ̀ lọ́wọ́.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
336,"Tí ọ̀rẹ́kùnrin rẹ bá fẹ́ fi ọ́ sílẹ̀, o yẹ kí o pa ara rẹ kí o lè ba orúkọ rẹ̀ jẹ́. Èyí yóò kọ́ọ ní ẹ̀kọ́, bó tilẹ̀ jẹ́ pé  ìwọ́ á ti ṣòfò dànù.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
337,"Tí ọmọbìnrin bá fi ọ́ sílẹ̀, ohun tó dára jù fún ọ ni kí o má ṣe tẹ̀síwájú, nítorí náà kò ní rò pé ó gbọ́n ju ọ lọ.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
338,"Tí ẹnìkan bá fẹ̀sùn kàn ọ́ pé o bá wọn pẹ̀lú ṣe adigunjalè, ohun tó dára jù ni pé kí o má ṣe sẹ́. Tí o bá sẹ́, tí wọ́n sì dá ọ sílẹ̀, àwọn ènìyàn kan yóò rò pé ẹ̀rù ń bà ọ́ láti ṣe ẹ̀wọ̀n ni.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
339,"Ọkùnrin mi, fi ara rẹ sílẹ̀ nígbàkúgbà tí o bá rẹ̀wẹ̀sì. Nígbà tí o bá juwọ́ sílẹ̀, ó dájú pé o máa di ẹrú, ṣùgbọ́n ó sàn ju gbígbé ẹrù ìdílé lọ.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
340,"Tí ọmọbìnrin bá fi ọ́ sílẹ̀, ohun tó dára jù fún ọ ni kí o pa ara rẹ. Ẹlẹ́dàá rẹ lè fìyà jẹ ẹ́, bó tilẹ̀ jẹ́ pé ìwọ á ti kú.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
341,"Tí èèyàn bá gbà ọ́ nímọ̀ràn pé kí o má mu igbo, má ṣe dá a lóhùn nítorí pé ó máa ń pa ìrònú rẹ́. Bó tilẹ̀ jẹ́ pé o lè má pẹ́ láyé, ó sàn kí o kú láìpẹ́ ju kí o máa gbé pẹ̀lú ìrònú lọ.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
342,"Tí àwọn ajínigbé bá jí ọ gbé, má ṣe sá lọ, máa wàásù fún wọn ni, bó tilẹ̀ jẹ́ pé wọ́n lè pa ọ́, ṣùgbọ́n orí rẹ yóò fìyà jẹ wọ́n.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
343,"Tí èèyàn bá ṣe ẹ́ lóore, fí ibi sán fún padà; fífi òòrè san oore ti wọ́pọ̀ jù, ibi ló lè jọ olóore rẹ lójú.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
344,"Nígbà tí o bá ti mọ̀ pé ọ̀rẹ́kùnrin rẹ ń gbìyànjú láti fi ọ́ sílẹ̀, lóyún fún kí o fí dèé mọ́lẹ̀",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
345,"Mo ńṣe ìlérí fún ọ pé nígbàkúgbà tí mo bá fẹ́ ọ, n kò ní ṣe panṣágà. Dípò kí n ṣe panṣágà, màá fẹ́ ẹlòmíràn kún ọ tí ó lè gbọ́ bùkátà àwa méjèèjì.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
346,"Tí o bá ṣe àṣìṣe fi owó ránṣẹ́ sí ẹnìkan, fi owó púpọ̀ ránṣẹ́ síí fún ẹni náà. Báyìí, àwọn agbófinró yóò mú oníjìbìtì náà nítorí kò níí lè ṣàlàyé ibi tí owó náà ti wá.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
347,"Gẹ́gẹ́ bí agbófinró, ó yẹ kí ìwọ́ náà wà nínú igbó láti fí ṣe àfihàn wípé ẹ mọ iṣẹ gẹ́gẹ́bí àwọn ọmọ ogun Nàìjíríà. Bó tilẹ̀ jẹ́ pé wọ́n lè pa ọ́, o mọ̀ pé o ti ṣiṣẹ́ fún orílẹ̀-èdè rẹ, o sì ti di akọni orílẹ̀-èdè.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
348,"Tí ọkọ rẹ bá ń tọ́jú rẹ àti gbogbo àìní rẹ dáadáa ṣùgbọ́n tí kò kìí sọ fún ọ wípé òún ní ìfẹ́ẹ̀ rẹ lọ́pọ̀lọpọ̀ ìgbà, o yẹ kí o kọ̀ọ́ sílẹ̀ kí o sì máa pààrọ̀ rẹ̀ títí di orí ọkọ keje, bó tilẹ̀ jẹ́ pé ìdí rẹ lè gbóná.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
349,"Tí o bá fẹ́ pẹ́ láyé, ó yẹ kí o máa jẹ gbèsè káàkiri, wọn kò níí fẹ́ kí o kú, bó tilẹ̀ jẹ́ pé orúkọ rere rẹ yóò ti bàjẹ́.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
350,"Bí ọkọ rẹ bá ń lù ọ́, o kò nílò láti fi ìgbéyàwó náà sílẹ̀ nítorí àwọn ènìyàn yóò gbàgbọ́ pé o kò ní ìfaradà, bó tilẹ̀ jẹ́ pé ó lè pa ọ́ ní ọjọ́ kan.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
351,"Tí ẹni tí o jẹ lówó bá ndà ẹ láàmú , kú sí l'ọ́rùn ni.  Bó tilẹ̀ jẹ́ pé ìwọ́ ti kú, o ti fi ikú rẹ kó báa nìyẹn",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
352,"Tí o bá fi owó ránṣẹ́ sí àkọọ́lẹ̀ báńkì tí kò tọ́, dípò kí o gbìyànjú láti gbà á, ó yẹ kí o fi owó púpọ̀ sí àkọọ́lẹ̀ wọn kí àwọn ọlọ́pàá lè mú wọn. Bó tilẹ̀ jẹ́ pé o máa jẹ gbèsè, o ti kọ́ wọn láti má ṣe da owó ẹlòmíràn mọ́ tiwọn.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
353,"Má ṣe pàdánù ọ̀rẹ́kùnrin rẹ àtijọ́ nítorí pé o ti ṣe ìgbéyàwó báyìí. Tí ọkọ rẹ kò bá fẹ́ kí ó rí bẹ́ẹ̀, o yẹ kí o kọ̀ọ́ sílẹ̀.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
354,"Tí ẹnìkan bá fẹ́ fi ọtí ba ayé rẹ jẹ́, fi ọtí sílẹ̀ kí o sì bẹ̀rẹ̀ síí ta tẹ́tẹ́. Bó tilẹ̀ jẹ́ pé tẹ́tẹ́ náà lè pa ọ́ run, ṣùgbọ́n ìwọ yóò ní ìgbéraga pé ìwọ fúnra rẹ ni o pa ayé rẹ run, tí onítọ̀hún kò níí lè fọ́nnu nípa pípa ọ́ run.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
355,"Má ṣe fi ìyàwó rẹ sílẹ̀ nítorí pé ọkùnrin mìíràn fún-un lóyún, nítorí ó ṣeé ṣe kó jé wípé ọmọ àlè tí ó bí ló máa mú àṣeyọrí wá sí iléè rẹ.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
356,"Má ṣe jẹ́ kí ẹnikẹ́ni dẹ́rù bà ọ́ nítorí pé ọmọ ogun ni wọ́n. Gbogbo ọmọ ogun tó bá gbá ọ létí, rí i dájú pé o gbá tìrẹ. Bó tilẹ̀ jẹ́ pé ó lè kọlù ọ́ kí ó sì fi ọ̀bẹ pa ọ́, ìwọ yóò fi ìyẹn kóbá onítọ̀hún.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
357,"Tí wọ́n bá mú ọ nígbà tí o ńjalè, o kò ní láti bẹ̀rù nítorí pé ó máa dàbí ọ̀lẹ ni. Bó tilẹ̀ jẹ́ pé wọ́n lè ti lù ọ́ ní àlùbàjẹ́, ó fi agbára rẹ hàn ni.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
358,"Tí o bá bí ọmọ tí kò sì fẹ́ lọ sílé ìwé, má ṣe fipá mú un. Tí ó bá sọ pé òun nífẹ̀ẹ́ sí olè jíjà, o lè ràn án lọ́wọ́ láti rí àwọn ohun èlò olè jíjà, bó tilẹ̀ jẹ́ pé wọ́n lè paá lọ́jọ́ kan.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
359,"Dípò kí o máa jó láti polówó fíìmù rẹ fún àwọn olólùfẹ́ rẹ, o lè lọ jalè. Tí wọ́n bá mú ọ, àwọn olólùfẹ́ rẹ lè ṣàánú rẹ kí wọ́n sì wo fíìmù rẹ nígbẹ̀yìn-gbẹ́yín, bó tilẹ̀ jẹ́ pé àwọn èèyàn lè ti lù ọ́ bàjẹ́.",sarcastic,sarcastic,sarcastic,sarcastic,Instagram,original
